homelat,homelon,homecontinent,n
-9.82581,-66.8972,South America,9
-9.81528,-67.955,South America,1
-10.2806,-67.1371,South America,3
-9.58138,-67.5478,South America,1
-9.97499,-67.8243,South America,48
0.034934,-51.0694,South America,97
3.84074,-51.8331,South America,1
-0.045434,-51.1729,South America,12
-15.7795,-47.9297,South America,527
-15.7617,-48.2816,South America,1
-16.3281,-48.953,South America,12
-18.3339,-48.2204,South America,1
-16.8198,-49.2469,South America,1
-16.9693,-48.9513,South America,1
-18.2173,-49.74,South America,1
-17.7441,-48.6246,South America,0
-16.7624,-49.695,South America,1
-18.1656,-47.944,South America,1
-16.0765,-47.9252,South America,2
-18.1352,-48.0875,South America,1
-15.3118,-49.1162,South America,8
-16.6864,-49.2643,South America,102
-18.0105,-49.3658,South America,1
-16.8297,-49.5345,South America,1
-16.9626,-49.2265,South America,0
-18.4093,-49.2158,South America,3
-17.8784,-51.7204,South America,4
-16.253,-47.95,South America,6
-17.4439,-51.1728,South America,1
-15.145,-49.5737,South America,1
-16.3695,-49.3168,South America,1
-18.9141,-50.6539,South America,1
-17.3019,-48.2768,South America,1
-17.7923,-50.9192,South America,10
-16.5211,-50.3726,South America,2
-16.7084,-49.0914,South America,1
-16.66,-48.6083,South America,1
-16.6517,-49.4927,South America,2
-16.0651,-47.9757,South America,6
-16.7405,-48.5159,South America,1
-20.4618,-45.4268,South America,1
-7.1238,-34.9293,South America,1
-6.98731,-34.8284,South America,4
-7.22196,-35.8731,South America,3
-7.17184,-38.1478,South America,1
-7.11509,-34.8641,South America,59
-6.99269,-36.7166,South America,1
-7.01743,-37.2747,South America,3
-7.11724,-34.9753,South America,5
-7.48034,-36.666,South America,1
-6.75148,-38.2311,South America,1
-4.8217,-42.1641,South America,1
-2.90585,-41.7754,South America,1
-3.93335,-41.7088,South America,3
-3.81411,-41.8308,South America,3
-5.09194,-42.8034,South America,32
-10.4318,-62.4788,South America,1
-10.8777,-61.9322,South America,1
-10.7167,-62.2565,South America,1
-8.76077,-63.8999,South America,23
-11.7271,-61.7714,South America,1
